1,Gary,Ablett,9,,Gold Coast,Australian,English
2,Leigh,Adams,13,,North Melbourne,,
3,Taylor,Adams,11,,GWS,,
4,Jed,Adcock,7,,Brisbane,,
5,Dylan,Addison,22,,Western Bulldogs,,
6,Jackson,Allen,31,,Gold Coast,,
7,Jed,Anderson,37,,Hawthorn,,
8,Liam,Anthony,4,,North Melbourne,,
9,Dennis,Armfield,27,,Carlton,,
10,David,Armitage,20,,St Kilda,,
11,Tony,Armstrong,19,,Sydney,,
12,Matthew,Arnot,44,,Richmond,,
13,David,Astbury,12,,Richmond,,
14,Shaun,Atley,18,,North Melbourne,,
15,Mark,Austin,47,,Western Bulldogs,,
16,Mark,Baguley,46,,Essendon,,
17,Rohan,Bail,44,,Melbourne,,
18,Max,Bailey,39,,Hawthorn,,
19,Luke,Ball,12,,Collingwood,,
20,Hayden,Ballantyne,1,,Fremantle,,
21,Michael,Barlow,21,,Fremantle,,
22,Jimmy,Bartel,3,,Geelong,,
23,Ryan,Bastinac,3,,North Melbourne,,
24,Jake,Batchelor,11,,Richmond,,
25,Dayne,Beams,17,,Collingwood,,
26,Claye,Beams,17,,Brisbane,,
27,Tom,Bell,28,,Carlton,,
28,Tom,Bellchambers,2,,Essendon,,
29,Harley,Bennell,11,,Gold Coast,,
30,Eddie,Betts,19,,Carlton,,
31,Rohan,Bewick,8,,Brisbane,,
32,Grant,Birchall,14,,Hawthorn,,
33,Craig,Bird,14,,Sydney,,
34,Aaron,Black,35,,North Melbourne,,
35,Simon,Black,20,,Brisbane,,
36,Jarryd,Blair,11,,Collingwood,,
37,Jason,Blake,27,,St Kilda,,
38,Sam,Blease,17,,Melbourne,,
39,Mark,Blicavs,46,,Geelong,,
40,Travis,Boak,1,,Port Adelaide,,
41,Nathan,Bock,44,,Gold Coast,,
42,Jude,Bolton,24,,Sydney,,
43,Josh,Bootsma,21,,Carlton,,
44,Andrew,Boston,40,,Gold Coast,,
45,Matthew,Boyd,5,,Western Bulldogs,,
46,Kepler,Bradley,26,,Fremantle,,
47,Jared,Brennan,3,,Gold Coast,,
48,Jacob,Brennan,14,,West Coast,,
49,Luke,Breust,22,,Hawthorn,,
50,Matthew,Broadbent,5,,Port Adelaide,,
51,Dean,Brogan,50,,GWS,,
52,Greg,Broughton,36,,Gold Coast,,
53,Jonathan,Brown,16,,Brisbane,,
54,Campbell,Brown,30,,Gold Coast,,
55,Nathan,Brown,16,,Collingwood,,
56,Luke,Brown,16,,Adelaide,,
57,Mitch,Brown,1,,Geelong,,
58,Mitch,Brown,1,,West Coast,,
59,Josh,Bruce,47,,GWS,,
60,Dylan,Buckley,7,,Carlton,,
61,Tomas,Bugg,14,,GWS,,
62,Matthew,Buntine,21,,GWS,,
63,George,Burbury,43,,Geelong,,
64,Shaun,Burgoyne,9,,Hawthorn,,
65,John,Butcher,11,,Port Adelaide,,
66,Sam,Butler,26,,West Coast,,
67,Shannon,Byrnes,10,,Melbourne,,
68,Jaryd,Cachia,37,,Carlton,,
69,Josh,Caddy,23,,Geelong,,
70,Ian,Callinan,37,,Adelaide,,
71,Jeremy,Cameron,18,,GWS,,
72,Tom,Campbell,45,,Western Bulldogs,,
73,Alipate,Carlile,27,,Port Adelaide,,
74,Jake,Carlisle,22,,Essendon,,
75,Andrew,Carrazzo,44,,Carlton,,
76,Adam,Carter,19,,West Coast,,
77,Levi,Casboult,41,,Carlton,,
78,Domenic,Cassisi,25,,Port Adelaide,,
79,Jonathon,Ceglar,47,,Hawthorn,,
80,Troy,Chaplin,25,,Richmond,,
81,Paul,Chapman,35,,Geelong,,
82,Kyle,Cheney,13,,Hawthorn,,
83,Allen,Christensen,28,,Geelong,,
84,Mitch,Clark,11,,Melbourne,,
85,Zac,Clarke,30,,Fremantle,,
86,Martin,Clarke,9,,Collingwood,,
87,Justin,Clarke,42,,Brisbane,,
88,Mitch,Clisby,50,,Melbourne,,
89,Travis,Cloke,32,,Collingwood,,
90,Sam,Colquhoun,30,,Port Adelaide,,
91,Travis,Colyer,32,,Essendon,,
92,Reece,Conca,30,,Richmond,,
93,Stephen,Coniglio,3,,GWS,,
94,Adam,Cooney,17,,Western Bulldogs,,
95,Ayce,Cordy,49,,Western Bulldogs,,
96,Joel,Corey,11,,Geelong,,
97,Aaron,Cornelius,44,,Brisbane,,
98,Kane,Cornes,18,,Port Adelaide,,
99,Aidan,Corr,35,,GWS,,
100,Trent,Cotchin,9,,Richmond,,
101,Dean,Cox,20,,West Coast,,
102,Stewart,Crameri,12,,Essendon,,
103,Jamie,Cripps,15,,West Coast,,
104,Jack,Crisp,47,,Brisbane,,
105,Daniel,Cross,4,,Western Bulldogs,,
106,Brad,Crouch,2,,Adelaide,,
107,Ryan,Crowley,15,,Fremantle,,
108,Hayden,Crozier,17,,Fremantle,,
109,Harry,Cunningham,7,,Sydney,,
110,Ben,Cunnington,10,,North Melbourne,,
111,Ed,Curnow,35,,Carlton,,
112,Tom,Curren,43,,St Kilda,,
113,Luke,Dahlhaus,6,,Western Bulldogs,,
114,Nick,Dal Santo,26,,St Kilda,,
115,Bradd,Dalziell,18,,West Coast,,
116,Patrick,Dangerfield,32,,Adelaide,,
117,Joe,Daniher,6,,Essendon,,
118,Sam,Darley,13,,GWS,,
119,Jack,Darling,27,,West Coast,,
120,Alwyn,Davey,29,,Essendon,,
121,Aaron,Davey,36,,Melbourne,,
122,Marcus,Davies,31,,Carlton,,
123,Phil,Davis,1,,GWS,,
124,Majak,Daw,38,,North Melbourne,,
125,Chris,Dawes,6,,Melbourne,,
126,Zac,Dawson,3,,Fremantle,,
127,Sam,Day,12,,Gold Coast,,
128,Matthew,de Boer,9,,Fremantle,,
129,Matt,Dea,7,,Richmond,,
130,Cameron,Delaney,31,,North Melbourne,,
131,Luke,Delaney,15,,North Melbourne,,
132,Brett,Deledio,3,,Richmond,,
133,Cory,DellOlio,47,,Essendon,,
134,Courtenay,Dempsey,15,,Essendon,,
135,Sean,Dempster,24,,St Kilda,,
136,Trent,Dennis-Lane,8,,St Kilda,,
137,Tory,Dickson,29,,Western Bulldogs,,
138,Alan,Didak,4,,Collingwood,,
139,Charlie,Dixon,23,,Gold Coast,,
140,Sam,Docherty,1,,Brisbane,,
141,Richard,Douglas,26,,Adelaide,,
142,Paul,Duffield,41,,Fremantle,,
143,Nick,Duigan,34,,Carlton,,
144,Mitch,Duncan,22,,Geelong,,
145,Sam,Dunell,38,,St Kilda,,
146,Lynden,Dunn,14,,Melbourne,,
147,Taylor,Duryea,41,,Hawthorn,,
148,Sam,Dwyer,41,,Collingwood,,
149,Brad,Ebert,7,,Port Adelaide,,
150,Shane,Edwards,10,,Richmond,,
151,Aaron,Edwards,27,,Richmond,,
152,Shaun,Edwards,22,,GWS,,
153,David,Ellard,46,,Carlton,,
154,Jamie,Elliott,19,,Collingwood,,
155,Brandon,Ellis,5,,Richmond,,
156,Xavier,Ellis,8,,Hawthorn,,
157,Andrew,Embley,32,,West Coast,,
158,Corey,Enright,44,,Geelong,,
159,Michael,Evans,32,,Melbourne,,
160,Andrejs,Everitt,13,,Sydney,,
161,Alex,Fasolo,1,,Collingwood,,
162,Jackson,Ferguson,45,,St Kilda,,
163,Michael,Firrito,11,,North Melbourne,,
164,Sam,Fisher,25,,St Kilda,,
165,Jack,Fitzpatrick,48,,Melbourne,,
